matricula_id,genero_id,edad,rango_edad_id,anio_ingreso,semestre_ingreso,institucion_id,carrera_id,via_ingreso_id,comuna_id
5249,1,21,2,2019,Primer semestre,10,57,5,147
5287,2,26,3,2019,Primer semestre,6,20,5,147
5375,1,21,2,2018,Primer semestre,10,216,5,147
5417,1,19,1,2020,Primer semestre,5,296,5,147
5425,2,19,1,2021,Primer semestre,6,139,5,147
5433,1,39,5,2020,Primer semestre,8,305,5,147
5553,1,20,2,2020,Primer semestre,11,319,5,147
5555,1,19,1,2020,Primer semestre,10,38,5,147
5565,2,22,2,2018,Primer semestre,9,183,5,147
5635,1,24,2,2020,Primer semestre,5,120,5,147
5701,2,26,3,2019,Primer semestre,11,312,5,147
5754,1,36,5,2020,Primer semestre,14,313,5,147
5790,1,23,2,2017,Primer semestre,15,186,5,147
5917,1,24,2,2017,Primer semestre,10,194,5,147
5942,2,29,3,2021,Primer semestre,1,66,3,147
5949,2,19,1,2020,Primer semestre,10,113,5,147
6073,1,21,2,2019,Primer semestre,10,57,5,147
6098,2,22,2,2018,Primer semestre,6,150,5,147
6108,2,20,2,2019,Primer semestre,6,136,5,147
6109,2,20,2,2020,Primer semestre,13,232,5,147
6155,2,34,4,2021,Primer semestre,8,228,5,147
6182,1,19,1,2020,Primer semestre,10,229,5,147
6183,1,19,1,2020,Primer semestre,10,318,5,147
6204,2,23,2,2019,Primer semestre,7,241,5,147
6312,1,23,2,2017,Primer semestre,10,82,5,147
6313,1,23,2,2021,Primer semestre,10,169,5,147
6412,1,26,3,2017,Primer semestre,10,39,5,147
6478,1,20,2,2019,Primer semestre,10,30,5,147
6479,1,21,2,2021,Primer semestre,11,188,5,147
6559,1,23,2,2018,Primer semestre,9,183,5,147
6776,2,26,3,2016,Primer semestre,11,61,5,147
6827,2,65,6,2021,Primer semestre,11,188,5,147
6838,1,22,2,2019,Primer semestre,8,302,5,147
6944,2,24,2,2021,Primer semestre,5,126,5,147
7080,2,19,1,2021,Primer semestre,11,206,5,147
7132,1,19,1,2021,Primer semestre,10,229,5,147
7136,2,21,2,2021,Primer semestre,6,139,5,147
7137,1,21,2,2021,Primer semestre,10,38,2,147
7152,1,18,1,2021,Primer semestre,7,241,5,147
7243,2,29,3,2013,Primer semestre,10,195,5,147
7320,1,24,2,2016,Primer semestre,10,63,5,147
7373,1,19,1,2021,Primer semestre,5,270,5,147
7543,2,35,5,2017,Primer semestre,15,124,3,147
7588,2,24,2,2019,Primer semestre,5,260,5,147
7601,1,22,2,2020,Primer semestre,13,60,5,147
7654,2,21,2,2019,Primer semestre,6,137,5,147
7734,1,24,2,2015,Primer semestre,9,33,5,147
7737,2,42,6,2021,Primer semestre,8,303,5,147
7786,1,46,6,2020,Primer semestre,1,67,5,147
7824,1,21,2,2019,Primer semestre,2,152,5,147
7836,2,33,4,2021,Primer semestre,6,144,1,147
8046,1,29,3,2021,Primer semestre,2,262,5,147
8122,2,20,2,2021,Primer semestre,6,102,5,147
8251,1,24,2,2018,Primer semestre,10,143,5,147
8289,1,24,2,2020,Primer semestre,13,60,3,147
8298,1,22,2,2019,Primer semestre,8,305,5,147
8299,1,22,2,2018,Primer semestre,11,231,5,147
8305,2,31,4,2021,Primer semestre,6,138,5,147
8363,2,28,3,2017,Primer semestre,2,222,5,147
8367,2,22,2,2020,Primer semestre,6,129,3,147
8369,2,21,2,2021,Primer semestre,8,303,5,147
8398,2,22,2,2017,Primer semestre,9,5,5,147
8446,1,28,3,2020,Primer semestre,8,304,5,147
8531,2,27,3,2019,Primer semestre,15,108,1,147
8705,1,23,2,2019,Primer semestre,9,183,5,147
8806,1,18,1,2021,Primer semestre,6,4,5,147
8872,1,19,1,2021,Primer semestre,7,241,5,147
8942,1,19,1,2020,Primer semestre,1,66,5,147
9039,2,29,3,2017,Primer semestre,11,220,5,147
9079,1,20,2,2020,Primer semestre,10,185,5,147
9080,1,21,2,2019,Primer semestre,10,211,6,147
9100,2,22,2,2021,Primer semestre,1,1,5,147
9164,1,23,2,2020,Primer semestre,1,67,5,147
9183,2,18,1,2021,Primer semestre,10,82,5,147
9221,2,18,1,2021,Primer semestre,6,18,5,147
9240,2,31,4,2020,Primer semestre,6,70,1,147
9286,2,19,1,2020,Primer semestre,2,222,5,147
9287,2,21,2,2021,Primer semestre,1,66,9,147
9343,2,43,6,2020,Primer semestre,5,266,5,147
9344,1,31,4,2018,Primer semestre,15,125,5,147
9355,1,19,1,2021,Primer semestre,2,272,5,147
9380,2,29,3,2010,Primer semestre,9,183,5,147
9381,1,41,6,2018,Primer semestre,12,199,5,147
9479,2,43,6,2020,Primer semestre,1,155,5,147
9536,1,30,4,2012,Primer semestre,9,183,5,147
9633,1,33,4,2021,Primer semestre,8,226,5,147
9707,2,18,1,2021,Primer semestre,1,53,5,147
9721,1,19,1,2021,Primer semestre,10,213,6,147
9783,1,33,4,2019,Primer semestre,11,172,5,147
9846,1,22,2,2018,Primer semestre,9,183,5,147
9872,2,19,1,2020,Primer semestre,10,30,5,147
9906,1,19,1,2021,Primer semestre,5,280,5,147
9964,1,21,2,2018,Primer semestre,11,50,5,147
10158,2,18,1,2021,Primer semestre,9,183,5,147
10197,1,24,2,2020,Primer semestre,11,319,3,147
10207,1,19,1,2020,Primer semestre,10,193,5,147
10254,1,32,4,2020,Primer semestre,5,261,5,147
10314,2,22,2,2018,Primer semestre,1,10,5,147
10443,2,20,2,2021,Primer semestre,1,66,5,147
10459,2,28,3,2020,Primer semestre,4,283,5,147
10482,2,19,1,2021,Primer semestre,6,70,5,147
10540,2,21,2,2019,Primer semestre,9,83,5,147
10558,1,21,2,2020,Primer semestre,10,193,5,147
10559,1,21,2,2021,Primer semestre,7,72,1,147
10637,1,31,4,2017,Primer semestre,13,64,5,147
10669,1,26,3,2021,Primer semestre,11,25,5,147
10700,2,27,3,2019,Primer semestre,10,77,5,147
10737,2,24,2,2020,Primer semestre,6,41,3,147
10756,1,25,3,2021,Primer semestre,9,161,5,147
10774,1,33,4,2020,Primer semestre,13,35,5,147
10804,1,22,2,2018,Primer semestre,9,183,5,147
10902,1,21,2,2020,Primer semestre,9,59,5,147
10903,1,21,2,2019,Primer semestre,6,40,5,147
10915,1,24,2,2016,Primer semestre,10,207,5,147
10916,2,24,2,2018,Primer semestre,6,20,5,147
10938,1,26,3,2020,Primer semestre,6,71,5,147
10998,2,19,1,2021,Primer semestre,1,264,5,147
11032,1,24,2,2016,Primer semestre,9,59,5,147
11061,1,29,3,2012,Primer semestre,13,64,5,147
11341,2,21,2,2019,Primer semestre,10,57,5,147
11365,1,23,2,2018,Primer semestre,11,190,5,147
11445,1,22,2,2019,Segundo semestre,13,64,3,147
11602,1,23,2,2019,Segundo semestre,10,194,2,147
11606,2,22,2,2019,Primer semestre,10,204,5,147
11618,1,24,2,2017,Primer semestre,13,191,5,147
11637,1,24,2,2018,Primer semestre,5,280,5,147
11751,2,21,2,2020,Primer semestre,6,144,5,147
11752,2,20,2,2019,Primer semestre,10,39,5,147
11881,2,24,2,2017,Primer semestre,10,204,5,147
11898,2,23,2,2017,Primer semestre,13,32,5,147
11899,1,23,2,2018,Primer semestre,5,280,5,147
11920,1,32,4,2019,Primer semestre,3,251,9,147
12123,1,23,2,2020,Primer semestre,8,299,5,147
12167,1,18,1,2021,Primer semestre,10,229,5,147
12287,1,26,3,2019,Primer semestre,9,74,5,147
12292,2,23,2,2017,Primer semestre,10,204,5,147
12293,2,23,2,2021,Primer semestre,6,71,9,147
12522,1,28,3,2018,Primer semestre,1,2,5,147
12665,1,24,2,2021,Primer semestre,5,260,3,147
12666,1,24,2,2017,Primer semestre,11,319,5,147
12787,2,22,2,2018,Primer semestre,15,115,5,147
12801,2,22,2,2019,Primer semestre,1,54,2,147
12802,1,22,2,2019,Primer semestre,8,305,5,147
12931,2,48,6,2015,Primer semestre,13,35,5,147
12938,1,23,2,2019,Primer semestre,5,296,5,147
12939,1,23,2,2018,Primer semestre,11,190,5,147
13000,2,23,2,2018,Primer semestre,10,194,5,147
13002,1,21,2,2020,Primer semestre,4,184,5,147
13181,2,19,1,2020,Primer semestre,9,74,5,147
13214,2,26,3,2019,Primer semestre,2,279,5,147
13264,2,19,1,2021,Primer semestre,6,138,5,147
13300,2,24,2,2017,Primer semestre,5,90,5,147
13437,1,24,2,2019,Primer semestre,5,280,5,147
13510,2,24,2,2016,Primer semestre,11,128,5,147
13519,1,25,3,2018,Primer semestre,15,317,5,147
13586,1,21,2,2019,Primer semestre,1,281,5,147
13599,2,22,2,2018,Primer semestre,9,33,5,147
13625,2,29,3,2017,Primer semestre,9,33,5,147
13642,2,19,1,2021,Primer semestre,13,32,5,147
13719,2,22,2,2018,Primer semestre,10,57,10,147
13799,1,21,2,2021,Primer semestre,8,305,5,147
13807,1,28,3,2019,Primer semestre,3,253,5,147
13920,1,20,2,2019,Primer semestre,10,57,5,147
14003,1,23,2,2021,Primer semestre,5,270,5,147
14004,2,24,2,2017,Primer semestre,9,83,5,147
14042,2,21,2,2019,Primer semestre,2,246,5,147
14092,1,24,2,2016,Primer semestre,11,6,5,147
14125,1,24,2,2016,Primer semestre,9,59,7,147
14133,1,20,2,2021,Primer semestre,2,276,5,147
14180,2,25,3,2017,Primer semestre,6,137,5,147
14245,2,21,2,2021,Primer semestre,1,291,5,147
14268,1,22,2,2020,Primer semestre,3,237,5,147
14269,2,22,2,2019,Primer semestre,10,77,5,147
14292,2,28,3,2021,Primer semestre,11,153,5,147
14326,1,22,2,2021,Primer semestre,5,270,5,147
14559,1,26,3,2020,Primer semestre,10,86,5,147
14566,2,24,2,2015,Primer semestre,9,74,5,147
14637,2,22,2,2018,Primer semestre,13,32,5,147
14641,2,19,1,2020,Primer semestre,1,178,5,147
14739,1,21,2,2020,Primer semestre,9,5,5,147
14777,1,36,5,2020,Primer semestre,3,93,5,147
14870,2,20,2,2019,Primer semestre,10,77,5,147
14876,2,24,2,2021,Primer semestre,6,100,1,147
14887,2,22,2,2020,Primer semestre,9,74,5,147
14911,1,35,5,2020,Primer semestre,5,269,5,147
14973,2,43,6,2019,Primer semestre,1,54,5,147
14992,1,26,3,2021,Primer semestre,2,284,5,147
15127,1,32,4,2010,Primer semestre,9,183,5,147
15130,2,20,2,2019,Primer semestre,11,188,5,147
15143,1,18,1,2021,Primer semestre,13,60,5,147
15264,2,19,1,2020,Primer semestre,10,214,5,147
15331,1,24,2,2017,Primer semestre,11,61,5,147
15364,2,24,2,2018,Primer semestre,7,131,5,147
15512,2,19,1,2020,Primer semestre,10,193,5,147
15569,1,23,2,2021,Primer semestre,5,280,5,147
15574,1,29,3,2011,Primer semestre,9,33,5,147
15619,1,19,1,2021,Primer semestre,6,102,9,147
15693,1,25,3,2016,Primer semestre,9,59,5,147
15747,1,25,3,2019,Primer semestre,11,26,3,147
15770,1,19,1,2020,Primer semestre,11,202,5,147
15840,1,35,5,2021,Primer semestre,5,280,5,147
15847,2,23,2,2018,Primer semestre,2,222,5,147
15864,1,36,5,2020,Primer semestre,8,304,5,147
15883,1,18,1,2021,Primer semestre,5,280,5,147
15892,2,22,2,2020,Primer semestre,1,1,5,147
16061,2,24,2,2017,Primer semestre,11,312,5,147
16156,1,29,3,2019,Primer semestre,10,194,5,147
16331,1,21,2,2018,Primer semestre,9,183,5,147
16347,2,22,2,2018,Primer semestre,9,83,5,147
16451,2,23,2,2020,Primer semestre,9,83,5,147
16485,1,24,2,2019,Primer semestre,5,90,5,147
16495,1,20,2,2019,Primer semestre,7,110,5,147
16675,1,26,3,2020,Primer semestre,5,271,5,147
16708,1,46,6,2017,Primer semestre,14,34,5,147
16913,2,22,2,2018,Primer semestre,10,229,6,147
16940,1,23,2,2020,Primer semestre,2,223,5,147
17045,1,22,2,2019,Primer semestre,2,272,5,147
17080,2,38,5,2020,Segundo semestre,3,248,9,147
17108,2,19,1,2020,Primer semestre,11,312,5,147
17111,2,21,2,2020,Primer semestre,6,70,5,147
17178,2,18,1,2021,Primer semestre,1,290,9,147
17233,1,24,2,2016,Primer semestre,9,83,5,147
17239,1,22,2,2018,Primer semestre,9,183,5,147
17274,1,23,2,2021,Primer semestre,10,204,4,147
17293,1,19,1,2020,Primer semestre,10,14,5,147
17491,2,23,2,2019,Primer semestre,6,136,5,147
17579,2,18,1,2021,Primer semestre,6,138,9,147
17591,2,27,3,2012,Primer semestre,9,5,5,147
17599,1,19,1,2020,Primer semestre,10,57,5,147
17618,2,32,4,2021,Primer semestre,10,175,5,147
17662,1,19,1,2020,Primer semestre,11,50,6,147
17745,1,21,2,2019,Primer semestre,9,83,5,147
17859,1,21,2,2020,Primer semestre,9,183,5,147
17879,1,21,2,2019,Primer semestre,10,30,5,147
17885,1,22,2,2019,Primer semestre,10,210,5,147
17905,1,24,2,2016,Primer semestre,7,131,5,147
17956,2,22,2,2019,Primer semestre,6,136,5,147
18073,1,20,2,2021,Primer semestre,1,281,5,147
18086,1,21,2,2020,Primer semestre,1,281,5,147
18092,2,22,2,2020,Primer semestre,10,216,5,147
18286,1,52,6,2021,Primer semestre,14,34,5,147
18297,1,23,2,2021,Primer semestre,1,281,5,147
18305,2,18,1,2021,Primer semestre,10,82,10,147
18375,2,19,1,2020,Primer semestre,11,26,5,147
18385,1,24,2,2016,Primer semestre,9,183,5,147
18684,1,34,4,2021,Primer semestre,5,266,5,147
18685,1,19,1,2021,Primer semestre,11,61,5,147
18693,1,21,2,2021,Primer semestre,2,292,5,147
18694,2,21,2,2019,Primer semestre,1,308,5,147
18712,2,22,2,2019,Primer semestre,11,231,5,147
18884,1,21,2,2020,Primer semestre,9,83,5,147
18893,1,21,2,2021,Primer semestre,2,276,5,147
19118,1,24,2,2019,Primer semestre,8,305,5,147
19121,1,25,3,2018,Primer semestre,14,34,5,147
19153,1,48,6,2020,Primer semestre,7,244,5,147
19235,2,19,1,2020,Primer semestre,6,18,5,147
19290,2,25,3,2020,Segundo semestre,15,132,1,147
19380,1,22,2,2018,Primer semestre,10,195,6,147
19445,1,21,2,2021,Primer semestre,10,57,4,147
19641,2,18,1,2021,Primer semestre,1,1,5,147
19654,2,19,1,2021,Primer semestre,10,82,5,147
19681,2,22,2,2018,Primer semestre,6,136,5,147
19682,1,19,1,2020,Primer semestre,2,284,5,147
19833,2,36,5,2020,Primer semestre,14,87,5,147
19853,2,39,5,2020,Primer semestre,8,226,5,147
19863,2,28,3,2014,Primer semestre,7,19,5,147
19905,1,22,2,2017,Primer semestre,11,190,5,147
20064,2,22,2,2019,Primer semestre,6,136,5,147
20102,2,23,2,2021,Primer semestre,6,144,5,147
20140,1,19,1,2021,Primer semestre,2,272,5,147
20199,2,34,4,2020,Primer semestre,8,306,5,147
20440,1,27,3,2019,Primer semestre,5,268,5,147
20446,1,30,4,2020,Primer semestre,2,276,5,147
20480,1,21,2,2020,Primer semestre,9,183,5,147
20499,2,24,2,2016,Primer semestre,9,83,5,147
20534,1,18,1,2021,Primer semestre,10,216,11,147
20674,1,19,1,2020,Primer semestre,10,57,5,147
20689,2,23,2,2018,Primer semestre,7,131,5,147
20701,1,23,2,2017,Primer semestre,10,82,5,147
20702,2,23,2,2018,Primer semestre,7,131,5,147
20735,1,36,5,2020,Primer semestre,2,292,5,147
20780,1,46,6,2018,Primer semestre,4,245,5,147
20789,1,19,1,2021,Primer semestre,10,57,5,147
20792,1,29,3,2015,Primer semestre,9,183,5,147
20978,1,24,2,2021,Primer semestre,15,85,2,147
21130,2,34,4,2018,Primer semestre,13,232,3,147
21169,2,19,1,2021,Primer semestre,6,117,5,147
21197,1,24,2,2018,Primer semestre,11,255,5,147
21222,1,33,4,2017,Primer semestre,15,317,5,147
21246,1,26,3,2018,Primer semestre,11,188,2,147
21249,1,29,3,2021,Primer semestre,10,113,5,147
21257,2,22,2,2020,Primer semestre,6,20,3,147
21410,1,19,1,2020,Primer semestre,10,82,5,147
21472,2,21,2,2018,Primer semestre,10,214,5,147
21520,2,40,6,2019,Primer semestre,3,249,9,147
21625,2,24,2,2018,Primer semestre,7,89,5,147
21637,1,20,2,2020,Primer semestre,8,304,5,147
21680,2,22,2,2017,Primer semestre,6,70,5,147
21750,1,40,6,2017,Primer semestre,13,235,5,147
21823,2,22,2,2020,Primer semestre,10,38,7,147
21878,2,23,2,2017,Primer semestre,10,77,5,147
21881,2,27,3,2020,Primer semestre,3,237,5,147
22074,1,22,2,2017,Primer semestre,10,63,5,147
22084,1,19,1,2021,Primer semestre,8,305,5,147
22141,1,21,2,2021,Primer semestre,2,272,5,147
22279,1,21,2,2020,Primer semestre,8,304,5,147
22415,1,19,1,2021,Primer semestre,10,229,5,147
22525,1,19,1,2020,Primer semestre,1,69,5,147
22528,1,31,4,2021,Primer semestre,8,304,5,147
22576,2,23,2,2019,Primer semestre,13,151,5,147
22577,2,23,2,2018,Primer semestre,5,265,5,147
22580,1,19,1,2021,Primer semestre,2,292,5,147
22629,1,25,3,2018,Primer semestre,6,40,5,147
22793,2,28,3,2021,Primer semestre,13,60,5,147
22934,2,22,2,2017,Primer semestre,9,33,5,147
23005,1,19,1,2021,Primer semestre,13,60,5,147
23012,2,18,1,2021,Primer semestre,10,210,5,147
23078,1,21,2,2019,Primer semestre,7,110,5,147
23088,1,20,2,2019,Primer semestre,1,281,5,147
23174,1,22,2,2019,Primer semestre,11,61,5,147
23246,1,23,2,2017,Primer semestre,5,90,5,147
23250,1,21,2,2021,Primer semestre,13,60,5,147
23272,1,19,1,2020,Primer semestre,9,183,5,147
23402,2,37,5,2019,Primer semestre,6,20,5,147
23403,2,19,1,2021,Primer semestre,5,120,5,147
23468,2,21,2,2020,Primer semestre,10,77,5,147
23489,2,29,3,2014,Primer semestre,5,120,5,147
23544,1,45,6,2019,Primer semestre,7,295,5,147
23545,1,45,6,2021,Primer semestre,7,244,2,147
23651,2,21,2,2019,Primer semestre,6,18,5,147
23726,1,24,2,2021,Primer semestre,2,276,5,147
23760,1,22,2,2021,Primer semestre,8,227,5,147
24045,2,29,3,2011,Primer semestre,1,54,5,147
24110,2,36,5,2007,Primer semestre,9,183,5,147
24128,1,25,3,2020,Primer semestre,8,306,5,147
24135,1,21,2,2021,Primer semestre,1,66,9,147
24151,1,23,2,2019,Primer semestre,10,318,5,147
24156,1,22,2,2020,Primer semestre,9,59,5,147
24176,2,20,2,2020,Primer semestre,11,314,5,147
24292,2,23,2,2020,Primer semestre,6,40,5,147
24307,2,24,2,2019,Primer semestre,5,260,5,147
24348,2,19,1,2021,Primer semestre,6,139,5,147
24388,1,29,3,2012,Primer semestre,9,183,5,147
24400,1,18,1,2021,Primer semestre,10,210,11,147
24502,1,19,1,2020,Primer semestre,9,83,5,147
24592,2,21,2,2019,Primer semestre,10,77,5,147
24617,1,23,2,2018,Primer semestre,9,83,5,147
24648,2,26,3,2018,Primer semestre,10,229,5,147
24661,1,26,3,2021,Primer semestre,8,227,5,147
24911,2,23,2,2017,Primer semestre,11,312,5,147
24923,2,29,3,2019,Primer semestre,7,110,5,147
24981,2,32,4,2019,Primer semestre,8,226,5,147
24982,2,22,2,2020,Primer semestre,6,100,3,147
25007,2,39,5,2017,Primer semestre,13,35,5,147
25061,2,19,1,2021,Primer semestre,10,14,5,147
25070,2,23,2,2017,Primer semestre,9,5,5,147
25184,2,19,1,2021,Primer semestre,11,84,5,147
25185,1,19,1,2021,Primer semestre,5,280,5,147
25187,2,25,3,2021,Primer semestre,1,54,9,147
25255,1,27,3,2015,Primer semestre,11,231,5,147
25275,1,22,2,2020,Primer semestre,10,82,5,147
25373,2,20,2,2019,Primer semestre,9,83,5,147
25425,2,45,6,2020,Primer semestre,5,11,5,147
25429,2,19,1,2021,Primer semestre,10,195,5,147
25441,2,27,3,2019,Primer semestre,15,103,5,147
25502,2,19,1,2021,Primer semestre,9,5,5,147
25570,1,24,2,2021,Primer semestre,7,295,5,147
25591,1,27,3,2014,Primer semestre,10,143,5,147
25682,1,30,4,2020,Primer semestre,10,157,5,147
25710,2,24,2,2019,Primer semestre,8,305,5,147
25793,1,19,1,2021,Primer semestre,5,280,5,147
25819,2,29,3,2018,Primer semestre,4,245,5,147
25820,1,23,2,2018,Primer semestre,10,229,5,147
25910,2,19,1,2021,Primer semestre,9,5,5,147
26097,2,24,2,2015,Primer semestre,9,76,5,147
26155,1,21,2,2020,Primer semestre,5,280,5,147
26246,1,20,2,2020,Primer semestre,1,66,5,147
26296,1,18,1,2021,Primer semestre,2,294,5,147
26313,1,24,2,2016,Primer semestre,9,59,5,147
26345,1,23,2,2016,Primer semestre,10,82,5,147
26428,1,51,6,2020,Primer semestre,3,247,9,147
26433,1,24,2,2021,Primer semestre,5,268,5,147
26511,1,28,3,2020,Primer semestre,2,272,5,147
26573,1,18,1,2021,Primer semestre,11,231,5,147
26615,1,19,1,2020,Primer semestre,11,84,5,147
26621,1,20,2,2020,Primer semestre,2,279,5,147
26708,2,24,2,2020,Primer semestre,13,151,5,147
26739,2,20,2,2021,Primer semestre,10,210,5,147
26750,1,32,4,2021,Primer semestre,7,72,1,147
26771,2,25,3,2015,Primer semestre,15,317,5,147
26912,2,27,3,2021,Primer semestre,4,245,5,147
27090,1,37,5,2019,Primer semestre,1,281,5,147
27141,1,23,2,2017,Primer semestre,10,63,5,147
27180,1,22,2,2017,Primer semestre,10,185,5,147
27294,2,23,2,2019,Primer semestre,11,215,5,147
27304,1,45,6,2020,Primer semestre,10,164,5,147
27382,1,21,2,2020,Primer semestre,10,229,6,147
27383,1,18,1,2021,Primer semestre,9,83,5,147
27404,1,20,2,2019,Primer semestre,11,202,6,147
27459,1,25,3,2021,Primer semestre,4,245,3,147
27470,1,21,2,2018,Primer semestre,9,183,5,147
27522,2,19,1,2020,Primer semestre,7,131,5,147
27635,2,19,1,2020,Primer semestre,6,70,5,147
27853,1,26,3,2020,Primer semestre,13,182,5,147
27858,1,26,3,2020,Primer semestre,9,161,5,147
27862,1,22,2,2021,Primer semestre,1,281,5,147
27944,1,24,2,2016,Primer semestre,9,83,5,147
28030,2,22,2,2021,Primer semestre,13,60,5,147
28031,1,22,2,2020,Primer semestre,7,110,5,147
28067,1,56,6,2021,Primer semestre,3,247,9,147
28195,2,22,2,2019,Primer semestre,2,68,5,147
28328,2,19,1,2021,Primer semestre,7,131,5,147
28383,2,23,2,2020,Primer semestre,8,300,5,147
28457,2,43,6,2021,Primer semestre,10,167,5,147
28486,1,24,2,2020,Primer semestre,15,108,1,147
28528,2,21,2,2020,Primer semestre,10,77,5,147
28584,1,24,2,2019,Primer semestre,8,304,5,147
28669,2,23,2,2019,Primer semestre,2,292,5,147
28677,1,29,3,2021,Primer semestre,5,126,5,147
28728,2,23,2,2018,Primer semestre,13,32,5,147
